Jogo	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15	Bola16	Bola17	Bola18	Bola19	Bola20
J1965	9	12	13	18	22	32	34	41	51	53	56	66	70	80	82	85	94	95	98	99
J1966	6	7	11	18	19	24	38	42	47	48	56	58	63	65	68	73	77	79	81	90
J1967	3	6	12	15	25	26	27	28	47	50	56	69	71	85	87	89	90	93	95	97
J1968	2	4	8	12	13	17	21	22	31	53	54	56	68	69	82	86	93	94	97	98
J1969	1	8	10	16	17	20	22	35	38	48	56	59	62	64	67	80	81	84	94	98
J1970	6	8	9	25	28	30	37	48	51	57	59	62	63	72	73	81	83	84	90	98
J1971	1	4	5	7	15	21	23	25	26	27	28	34	44	45	67	69	78	87	92	99
J1972	0	2	7	12	25	26	31	37	40	41	48	54	61	75	78	80	83	85	95	96
J1973	0	9	10	18	19	21	29	37	41	43	49	56	58	59	61	65	73	90	91	94
J1974	6	11	18	19	31	34	35	52	53	57	69	72	76	77	82	90	92	93	96	97
J1975	0	3	6	7	22	23	25	26	31	32	40	41	42	45	52	53	64	65	67	71
J1976	6	16	18	20	21	46	47	48	50	54	55	59	69	71	72	73	80	83	87	94
J1977	1	3	6	8	9	11	18	20	26	31	32	37	49	68	71	75	77	86	87	91
J1978	3	8	20	22	28	30	37	38	43	58	68	80	82	84	86	88	89	91	95	98
J1979	3	10	26	29	31	36	40	56	58	62	66	68	74	77	79	87	88	92	93	95
J1980	0	1	8	9	11	15	16	27	54	58	61	63	67	68	69	78	79	89	93	95
J1981	0	5	14	27	30	34	36	40	43	44	55	65	68	76	78	85	88	92	98	99
J1982	2	14	26	27	33	35	37	40	45	48	54	55	64	65	66	76	83	87	88	90
J1983	4	5	10	12	17	18	19	24	30	34	41	61	66	70	71	73	74	81	95	98
J1984	0	8	10	17	24	29	35	39	42	43	55	74	75	78	79	85	86	89	92	94
J1985	1	10	12	14	22	26	31	35	37	41	44	48	54	55	56	66	72	78	87	95
J1986	8	9	10	38	39	40	43	48	53	54	55	58	67	68	71	74	76	83	89	91
J1987	0	3	11	13	18	19	21	31	37	42	43	44	50	53	57	68	69	78	92	98
J1988	1	3	5	8	24	51	54	65	71	76	78	82	83	84	86	88	90	91	93	99
J1989	2	11	17	20	21	27	31	34	37	38	41	44	45	48	51	53	64	79	88	96
J1990	2	3	6	10	12	25	31	35	42	43	50	57	61	66	69	74	75	80	86	88
J1991	7	18	22	24	31	35	43	53	56	57	61	63	67	70	77	81	90	91	92	97
J1992	5	9	21	44	46	49	58	59	64	65	70	72	73	74	78	90	91	92	95	96
J1993	0	6	7	8	12	13	24	30	32	41	48	52	69	73	74	82	83	89	92	94
