Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Bola16;Bola17;Bola18;Bola19;Bola20;Rateio 20 acertos;Rateio 19 acertos;Rateio 18 acertos;Rateio 17 acertos;Rateio 16 acertos;Rateio 15 acertos;Rateio Nenhum Número
107;21/04/2001;6;13;18;22;26;30;33;34;36;38;40;45;53;54;61;62;64;69;75;91;R$0,00;R$18.301,15;R$1.461,55;R$74,35;R$12,53;-;R$210.463,21
108;25/04/2001;1;9;18;25;28;32;35;41;43;44;48;53;59;61;62;67;85;86;90;97;R$0,00;R$62.487,62;R$2.659,05;R$116,21;R$18,93;-;R$0,00
109;28/04/2001;0;1;6;13;16;19;20;29;39;40;49;50;65;77;79;80;89;92;94;98;R$0,00;R$18.346,76;R$1.183,66;R$85,55;R$15,25;-;R$148.105,83
110;02/05/2001;1;13;16;21;22;23;30;35;39;53;61;62;63;65;66;67;72;75;81;92;R$0,00;R$39.652,46;R$2.230,45;R$107,60;R$16,86;-;R$0,00
111;05/05/2001;7;18;25;30;32;41;44;52;56;58;59;61;71;72;79;82;86;88;96;98;R$0,00;R$22.764,82;R$1.832,46;R$99,01;R$16,68;-;R$158.126,27
112;09/05/2001;0;9;10;15;18;24;37;47;51;57;58;60;61;63;67;74;78;88;94;97;R$0,00;R$34.798,66;R$2.073,11;R$101,75;R$17,37;-;R$0,00
113;12/05/2001;4;11;13;17;27;31;32;34;36;37;38;41;52;71;81;83;84;87;88;91;R$6.642.639,29;R$26.900,58;R$1.717,06;R$86,04;R$14,45;-;R$0,00
114;16/05/2001;1;7;11;13;17;25;27;29;32;44;48;49;50;71;74;76;80;88;90;91;R$253.539,72;R$16.097,76;R$1.003,13;R$65,00;R$11,77;-;R$183.856,02
115;19/05/2001;2;9;10;17;19;23;26;30;31;32;38;39;40;47;56;63;72;84;88;92;R$0,00;R$41.570,32;R$1.793,23;R$95,47;R$16,12;-;R$228.636,80
116;23/05/2001;3;4;7;8;11;21;31;35;39;45;46;47;53;56;59;64;80;82;83;92;R$0,00;R$26.717,30;R$2.894,38;R$149,53;R$21,92;-;R$0,00
117;26/05/2001;0;2;14;23;25;30;31;36;37;42;45;46;48;64;65;66;67;73;74;99;R$0,00;R$32.687,72;R$1.782,97;R$92,90;R$15,06;-;R$0,00
118;30/05/2001;2;11;12;14;15;23;29;32;33;41;53;56;60;63;65;74;82;83;90;92;R$2.520.903,66;R$42.854,24;R$1.988,08;R$100,80;R$12,22;-;R$0,00
119;02/06/2001;2;3;5;8;25;29;36;38;41;45;50;52;55;64;69;73;79;81;82;87;R$702.548,12;R$31.224,36;R$1.829,55;R$108,36;R$17,36;-;R$0,00
120;06/06/2001;2;9;10;11;12;19;21;27;29;31;35;47;48;56;61;74;75;77;84;94;R$0,00;R$18.336,06;R$1.674,93;R$84,36;R$14,34;-;R$0,00
121;09/06/2001;0;2;3;9;10;15;27;34;35;40;59;69;70;71;73;75;82;89;91;99;R$430.605,24;R$23.310,24;R$1.512,76;R$78,05;R$13,60;-;R$638.226,22
122;13/06/2001;8;12;14;20;21;24;27;30;35;36;43;58;59;77;82;84;85;86;88;95;R$0,00;R$58.621,00;R$2.567,35;R$121,25;R$18,88;-;R$0,00
123;16/06/2001;6;8;19;26;30;33;44;45;50;54;58;60;64;65;66;69;76;81;85;90;R$0,00;R$43.050,75;R$1.849,84;R$100,81;R$16,23;-;R$412.642,16
124;20/06/2001;2;6;8;11;25;26;28;32;39;40;41;59;64;67;69;70;76;81;84;95;R$0,00;R$29.735,79;R$2.338,77;R$121,84;R$20,07;-;R$0,00
125;23/06/2001;0;8;12;23;26;34;45;48;51;52;62;66;68;69;71;77;82;86;92;94;R$0,00;R$12.138,70;R$1.074,43;R$68,23;R$12,44;-;R$0,00
126;27/06/2001;1;3;7;8;9;12;14;20;29;37;38;40;41;46;56;63;68;83;96;97;R$0,00;R$23.176,59;R$1.810,67;R$87,36;R$14,46;-;R$0,00
127;30/06/2001;3;7;22;24;27;29;38;39;41;45;48;54;59;62;65;67;71;78;79;86;R$4.357.216,97;R$20.972,51;R$1.305,34;R$77,91;R$14,25;-;R$0,00
128;04/07/2001;3;5;17;24;31;34;43;45;46;47;49;52;57;58;59;74;84;86;88;97;R$589.537,13;R$39.302,48;R$1.301,41;R$74,53;R$13,01;-;R$0,00
129;07/07/2001;10;13;17;21;26;28;36;37;38;41;43;44;47;60;65;76;78;80;84;90;R$829.613,70;R$26.336,94;R$1.701,77;R$91,77;R$15,90;-;R$0,00
130;11/07/2001;3;5;10;15;16;17;19;21;37;38;41;44;49;51;52;76;84;85;94;99;R$0,00;R$22.569,15;R$1.380,13;R$76,14;R$13,36;-;R$0,00
131;14/07/2001;9;10;12;23;24;27;42;43;45;47;48;55;62;69;70;75;80;90;94;98;R$0,00;R$39.306,13;R$3.007,03;R$147,84;R$21,65;-;R$1.979.794,56
132;18/07/2001;2;6;7;10;12;21;27;29;40;42;45;49;51;58;71;74;76;79;86;96;R$0,00;R$20.698,23;R$1.662,51;R$93,52;R$16,07;-;R$0,00
133;21/07/2001;2;13;21;32;34;38;42;45;48;52;53;57;62;66;71;75;79;86;92;95;R$1.443.191,23;R$10.874,14;R$877,22;R$56,87;R$11,07;-;R$0,00
134;25/07/2001;7;13;15;20;21;22;24;25;27;38;47;48;55;63;65;67;71;73;85;99;R$0,00;R$13.053,97;R$1.045,87;R$63,98;R$11,15;-;R$0,00
135;28/07/2001;5;13;27;33;37;41;48;49;53;54;58;59;60;68;78;80;84;86;95;97;R$1.295.883,90;R$42.622,12;R$1.853,14;R$92,61;R$14,81;-;R$927.108,24
136;01/08/2001;6;7;16;20;22;30;33;35;41;47;50;53;54;55;59;71;80;87;89;91;R$524.171,85;R$26.880,61;R$1.764,89;R$100,21;R$16,11;-;R$0,00
137;04/08/2001;3;10;18;19;29;32;42;44;50;54;55;64;65;69;74;80;81;82;87;91;R$0,00;R$40.641,35;R$2.802,85;R$135,04;R$20,33;-;R$0,00
138;08/08/2001;3;10;12;15;20;25;29;32;41;48;52;53;54;58;69;77;79;81;82;88;R$0,00;R$26.581,03;R$1.302,99;R$67,86;R$11,57;-;R$0,00
139;11/08/2001;2;6;8;10;11;13;23;24;33;43;49;51;55;65;66;71;75;85;89;93;R$1.078.488,65;R$15.759,24;R$818,36;R$58,61;R$10,75;-;R$0,00
140;15/08/2001;4;10;14;15;16;20;28;30;43;50;51;56;57;60;62;65;78;83;92;95;R$0,00;R$27.554,50;R$2.522,59;R$127,27;R$19,72;-;R$0,00
